Dec,1.1
Jul,2.25
Nov,3.95
Aug,7.16
Apr,1.23
Feb,2.34
Aug,7.3
Apr,0.77
Sep,2.61
Oct,6.9
May,3.05
May,4.12
Jun,2.39
Dec,8.09
Dec,5.78
Nov,3.82
Jun,4.59
Nov,8.48
Aug,5.63
Dec,1.9
Nov,4.54
Nov,4.89
Jan,0.37
Mar,0.47
Apr,3.32
Jun,9.57
Nov,0.73
Oct,5.35
Sep,8.59
Feb,2.96
Jun,7.32
Sep,6.89
Feb,2.37
Jun,3.55
Sep,2.4
Nov,7.92
Apr,8.63
Dec,9.03
Jan,6.02
Dec,2.5
Nov,1.41
May,5.53
Nov,9.05
Sep,1.99
Sep,5.27
Mar,6.13
Aug,1.02
Oct,0.3
Mar,3.86
Dec,9.21
May,0.12
Mar,4.52
Sep,3.58
Mar,8.47
Apr,5.55
Jul,4.22
Mar,9.28
Dec,9.53
Jul,7
Jul,2.89
Apr,5.1
May,1.69
Mar,2.16
Oct,4.54
May,2.79
Jul,9.96
Apr,1.62
Apr,2.97
Sep,2.18
Jul,9.86
May,0.21
Jan,2.37
Oct,5.89
Oct,0.53
Apr,7.36
Nov,9.3
Jun,1.32
Oct,3.32
Jun,8.03
Aug,5.26
Aug,3.42
Jul,5.91
Feb,8.3
Feb,2.05
Jan,2.43
Jun,4.63
Jan,9.14
Aug,1.26
Oct,2.84
Apr,7.23
Jun,5.73
Nov,6.13
Jan,2.4
May,9.65
Apr,5.09
Nov,0.88
Aug,9.16
Mar,7.13
Mar,2.46
Mar,5.75
